Departamento;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Necochea                                    ;BUENOS AIRES;93.730;93.970;94.207;94.442;94.673;94.902;95.126;95.348;95.568;95.783;95.995;96.204;96.410;96.614;96.814;97.011
9 de Julio                                  ;BUENOS AIRES;48.150;48.217;48.283;48.347;48.413;48.475;48.539;48.601;48.661;48.721;48.780;48.838;48.896;48.952;49.008;49.063
Olavarría                                   ;BUENOS AIRES;112.534;113.339;114.137;114.926;115.706;116.473;117.230;117.977;118.715;119.441;120.154;120.858;121.552;122.236;122.911;123.574
Patagones                                   ;BUENOS AIRES;30.446;30.610;30.773;30.935;31.094;31.250;31.405;31.557;31.708;31.856;32.002;32.146;32.288;32.427;32.565;32.701
Pehuajó                                     ;BUENOS AIRES;40.109;40.249;40.389;40.527;40.664;40.798;40.930;41.060;41.189;41.316;41.441;41.564;41.686;41.805;41.923;42.039
Pellegrini ;BUENOS AIRES;5.913;5.929;5.960;5.972;5.983;5.995;6.007;6.020;6.032;6.045;6.058;6.072;6.085;6.099;6.113;6.128
Pergamino                                   ;BUENOS AIRES;105.420;105.906;106.387;106.863;107.332;107.794;108.251;108.700;109.145;109.582;110.012;110.435;110.854;111.266;111.672;112.071
Pila                                        ;BUENOS AIRES;3.665;3.697;3.728;3.760;3.791;3.821;3.851;3.880;3.909;3.937;3.966;3.994;4.021;4.048;4.074;4.100
Pilar ;BUENOS AIRES;299.549;307.852;316.084;324.228;332.268;340.189;347.998;355.707;363.309;370.798;378.167;385.426;392.587;399.645;406.599;413.447
Pinamar                                     ;BUENOS AIRES;25.798;26.410;27.015;27.614;28.206;28.789;29.364;29.931;30.491;31.042;31.584;32.119;32.646;33.166;33.677;34.182
Presidente Perón ;BUENOS AIRES;81.166;83.780;86.372;88.936;91.467;93.960;96.420;98.847;101.239;103.597;105.918;108.203;110.457;112.680;114.868;117.024
Puán                                        ;BUENOS AIRES;15.871;15.816;15.761;15.668;15.576;15.486;15.396;15.309;15.223;15.137;15.054;14.972;14.891;14.811;14.733;14.657
Punta Indio ;BUENOS AIRES;9.964;10.028;10.093;10.156;10.219;10.282;10.343;10.404;10.463;10.521;10.579;10.635;10.692;10.747;10.802;10.855
Ramallo                                     ;BUENOS AIRES;33.218;33.697;34.173;34.644;35.109;35.567;36.018;36.463;36.902;37.335;37.761;38.180;38.595;39.003;39.404;39.800
Rauch                                       ;BUENOS AIRES;15.293;15.385;15.476;15.566;15.656;15.743;15.830;15.916;16.000;16.083;16.165;16.246;16.325;16.404;16.481;16.557
Rivadavia                                   ;BUENOS AIRES;16.317;16.430;16.515;16.589;16.663;16.746;16.826;16.904;16.978;17.050;17.119;17.184;17.247;17.307;17.366;17.421
Rojas                                       ;BUENOS AIRES;23.630;23.705;23.779;23.852;23.924;23.995;24.065;24.134;24.203;24.269;24.336;24.401;24.465;24.529;24.591;24.652
Roque Pérez                                 ;BUENOS AIRES;12.365;12.535;12.692;12.848;13.000;13.151;13.298;13.444;13.587;13.726;13.863;13.998;14.129;14.259;14.386;14.511
Saavedra                                    ;BUENOS AIRES;20.918;21.028;21.135;21.242;21.346;21.449;21.551;21.651;21.750;21.847;21.943;22.037;22.130;22.221;22.311;22.400
Saladillo                                   ;BUENOS AIRES;32.317;32.627;32.936;33.241;33.542;33.839;34.131;34.420;34.705;34.985;35.261;35.533;35.802;36.066;36.326;36.583
Salto                                       ;BUENOS AIRES;32.841;33.260;33.676;34.087;34.494;34.894;35.288;35.678;36.061;36.440;36.812;37.179;37.541;37.897;38.248;38.594
Salliqueló                                  ;BUENOS AIRES;8.714;8.721;8.730;8.740;8.750;8.760;8.769;8.779;8.789;8.799;8.810;8.819;8.829;8.840;8.850;8.860
San Andrés de Giles                         ;BUENOS AIRES;23.168;23.440;23.709;23.976;24.240;24.500;24.755;25.008;25.257;25.502;25.744;25.981;26.216;26.448;26.675;26.899
San Antonio de Areco                        ;BUENOS AIRES;23.297;23.504;23.708;23.910;24.111;24.307;24.501;24.693;24.882;25.068;25.251;25.431;25.610;25.785;25.957;26.128
San Cayetano                                ;BUENOS AIRES;8.469;8.503;8.537;8.571;8.605;8.638;8.671;8.704;8.734;8.766;8.797;8.827;8.857;8.887;8.915;8.945
San Nicolás                                 ;BUENOS AIRES;146.976;147.855;148.727;149.589;150.441;151.279;152.106;152.922;153.728;154.520;155.301;156.069;156.827;157.575;158.311;159.037
San Pedro                                   ;BUENOS AIRES;59.466;59.911;60.352;60.788;61.219;61.644;62.061;62.474;62.881;63.283;63.677;64.066;64.450;64.827;65.200;65.567
San Vicente ;BUENOS AIRES;59.510;61.374;63.222;65.051;66.856;68.634;70.388;72.118;73.825;75.506;77.161;78.791;80.398;81.983;83.544;85.082
Suipacha                                    ;BUENOS AIRES;10.134;10.280;10.424;10.567;10.707;10.846;10.983;11.117;11.250;11.382;11.510;11.637;11.763;11.886;12.008;12.128
Tandil                                      ;BUENOS AIRES;124.631;126.170;127.689;129.214;130.718;132.199;133.659;135.101;136.522;137.922;139.300;140.657;141.996;143.314;144.614;145.893
Tapalqué                                    ;BUENOS AIRES;9.238;9.330;9.421;9.510;9.598;9.686;9.772;9.856;9.940;10.022;10.103;10.183;10.262;10.340;10.416;10.491
Tordillo                                    ;BUENOS AIRES;1.780;1.783;1.785;1.788;1.791;1.794;1.796;1.799;1.801;1.804;1.807;1.809;1.812;1.814;1.816;1.818
Tornquist                                   ;BUENOS AIRES;12.810;12.929;13.048;13.165;13.281;13.395;13.507;13.619;13.728;13.836;13.942;14.047;14.150;14.251;14.352;14.450
Trenque Lauquen;BUENOS AIRES;43.326;43.676;44.025;44.369;44.708;45.043;45.373;45.699;46.019;46.336;46.648;46.954;47.256;47.554;47.849;48.137
Tres Arroyos;BUENOS AIRES;57.497;57.502;57.510;57.520;57.533;57.543;57.556;57.572;57.590;57.611;57.634;57.660;57.689;57.720;57.754;57.789
Tres Lomas ;BUENOS AIRES;8.409;8.471;8.508;8.562;8.600;8.646;8.686;8.726;8.764;8.801;8.837;8.872;8.906;8.939;8.971;9.002
25 de Mayo;BUENOS AIRES;36.149;36.247;36.343;36.439;36.533;36.627;36.718;36.808;36.897;36.985;37.071;37.156;37.240;37.323;37.405;37.485
Villa Gesell;BUENOS AIRES;31.845;32.499;33.147;33.788;34.421;35.044;35.660;36.266;36.865;37.454;38.034;38.606;39.170;39.726;40.273;40.812
Villarino;BUENOS AIRES;31.162;31.710;32.251;32.784;33.312;33.830;34.341;34.847;35.344;35.834;36.315;36.790;37.258;37.719;38.172;38.619
Zárate;BUENOS AIRES;114.957;116.345;117.720;119.081;120.425;121.748;123.054;124.342;125.613;126.865;128.096;129.309;130.506;131.686;132.848;133.993
Ambato;CATAMARCA;4.599;4.602;4.606;4.610;4.614;4.617;4.621;4.625;4.628;4.631;4.634;4.638;4.641;4.645;4.648;4.651
Ancasti;CATAMARCA;3.011;3.001;2.991;2.981;2.973;2.963;2.953;2.944;2.935;2.926;2.916;2.908;2.899;2.890;2.882;2.874
Andalgalá;CATAMARCA;18.637;18.775;18.912;19.048;19.183;19.319;19.453;19.586;19.718;19.848;19.976;20.102;20.225;20.346;20.465;20.579
Antofagasta de la Sierra;CATAMARCA;1.476;1.494;1.512;1.530;1.548;1.566;1.584;1.602;1.620;1.637;1.653;1.670;1.687;1.703;1.718;1.734
Belén;CATAMARCA;28.598;28.885;29.171;29.457;29.742;30.024;30.305;30.584;30.859;31.131;31.399;31.663;31.921;32.175;32.421;32.660
Capayán;CATAMARCA;16.505;16.727;16.950;17.171;17.392;17.611;17.829;18.045;18.258;18.470;18.678;18.882;19.082;19.278;19.469;19.654
Capital;CATAMARCA;163.831;165.837;167.839;169.833;171.818;173.792;175.753;177.700;179.628;181.531;183.406;185.250;187.057;188.824;190.547;192.221
El Alto;CATAMARCA;3.672;3.696;3.719;3.744;3.767;3.790;3.812;3.836;3.858;3.881;3.903;3.924;3.945;3.966;3.987;4.007
Fray Mamerto Esquiú;CATAMARCA;12.209;12.353;12.496;12.640;12.782;12.924;13.064;13.204;13.342;13.479;13.614;13.745;13.875;14.001;14.125;14.246
La Paz;CATAMARCA;23.262;23.462;23.660;23.859;24.057;24.253;24.448;24.641;24.834;25.023;25.209;25.392;25.572;25.748;25.918;26.085
Paclín;CATAMARCA;4.314;4.314;4.313;4.312;4.311;4.310;4.310;4.309;4.308;4.307;4.307;4.305;4.305;4.304;4.303;4.302
Pomán;CATAMARCA;11.058;11.200;11.342;11.482;11.622;11.761;11.900;12.037;12.173;12.307;12.439;12.569;12.696;12.821;12.942;13.060
Santa María;CATAMARCA;23.200;23.287;23.374;23.460;23.546;23.633;23.718;23.802;23.886;23.969;24.050;24.130;24.209;24.286;24.361;24.434
Santa Rosa;CATAMARCA;12.342;12.529;12.715;12.901;13.086;13.270;13.452;13.633;13.812;13.990;14.165;14.336;14.504;14.668;14.829;14.985
Tinogasta;CATAMARCA;23.030;23.058;23.086;23.113;23.141;23.167;23.195;23.221;23.249;23.275;23.301;23.326;23.351;23.375;23.399;23.421
Valle Viejo;CATAMARCA;27.932;28.328;28.722;29.115;29.506;29.895;30.281;30.664;31.044;31.419;31.788;32.151;32.507;32.855;33.194;33.525
Almirante Brown;CHACO;34.758;35.574;36.392;37.211;38.029;38.844;39.654;40.457;41.254;42.039;42.810;43.567;44.310;45.038;45.749;46.444
