Departamento;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Lavalle;MENDOZA;37.445;38.133;38.818;39.497;40.170;40.836;41.493;42.143;42.785;43.418;44.040;44.653;45.255;45.847;46.428;46.997
Luján de Cuyo;MENDOZA;122.187;124.392;126.585;128.762;130.918;133.049;135.156;137.239;139.297;141.325;143.320;145.283;147.214;149.110;150.970;152.795
Maipú;MENDOZA;175.777;178.432;181.072;183.692;186.287;188.853;191.390;193.898;196.375;198.816;201.218;203.581;205.905;208.189;210.428;212.624
Malargüe;MENDOZA;28.151;28.828;29.501;30.170;30.832;31.486;32.134;32.775;33.406;34.029;34.642;35.246;35.839;36.421;36.993;37.553
Rivadavia;MENDOZA;57.567;58.187;58.806;59.419;60.025;60.626;61.219;61.806;62.385;62.956;63.518;64.071;64.615;65.149;65.673;66.187
San Carlos;MENDOZA;33.250;33.885;34.519;35.146;35.768;36.382;36.989;37.591;38.183;38.768;39.343;39.910;40.466;41.013;41.550;42.076
San Martín;MENDOZA;120.667;122.163;123.651;125.127;126.590;128.036;129.465;130.878;132.274;133.649;135.003;136.334;137.645;138.931;140.194;141.430
San Rafael;MENDOZA;191.943;194.157;196.359;198.544;200.708;202.848;204.963;207.055;209.121;211.157;213.160;215.131;217.068;218.973;220.841;222.672
Santa Rosa;MENDOZA;16.744;16.850;16.955;17.059;17.163;17.266;17.367;17.466;17.565;17.663;17.758;17.852;17.944;18.035;18.125;18.212
Tunuyán;MENDOZA;50.369;51.418;52.460;53.495;54.520;55.533;56.534;57.525;58.503;59.467;60.416;61.349;62.266;63.168;64.053;64.921
Tupungato;MENDOZA;33.154;33.753;34.346;34.937;35.522;36.100;36.671;37.237;37.794;38.344;38.885;39.418;39.941;40.456;40.960;41.455
Apóstoles;MISIONES;42.722;43.211;43.696;44.177;44.653;45.123;45.588;46.047;46.501;46.948;47.387;47.819;48.244;48.661;49.070;49.471
Cainguás;MISIONES;53.989;54.699;55.402;56.100;56.790;57.472;58.145;58.813;59.470;60.119;60.756;61.382;61.998;62.605;63.198;63.780
Candelaria;MISIONES;27.292;27.829;28.363;28.891;29.413;29.930;30.440;30.946;31.445;31.936;32.419;32.893;33.360;33.819;34.269;34.710
Capital;MISIONES;328.135;332.673;337.177;341.638;346.054;350.410;354.719;358.986;363.204;367.349;371.424;375.429;379.374;383.246;387.045;390.765
Concepción;MISIONES;9.697;9.758;9.818;9.877;9.937;9.995;10.052;10.109;10.165;10.221;10.275;10.328;10.381;10.433;10.484;10.533
Eldorado;MISIONES;79.027;80.227;81.419;82.600;83.768;84.922;86.063;87.192;88.307;89.405;90.484;91.543;92.588;93.613;94.618;95.603
General Manuel Belgrano;MISIONES;43.255;44.314;45.364;46.405;47.435;48.452;49.458;50.453;51.435;52.404;53.354;54.289;55.209;56.113;57.000;57.868
Guaraní;MISIONES;68.585;69.734;70.874;72.005;73.124;74.228;75.320;76.402;77.469;78.520;79.553;80.568;81.567;82.549;83.512;84.454
Iguazú;MISIONES;82.952;84.724;86.480;88.222;89.945;91.647;93.328;94.994;96.639;98.258;99.849;101.413;102.952;104.465;105.947;107.400
Leandro N. Alem;MISIONES;45.612;46.016;46.416;46.813;47.205;47.593;47.976;48.355;48.730;49.098;49.461;49.817;50.167;50.512;50.850;51.181
Libertador General San Martín;MISIONES;47.102;47.585;48.063;48.539;49.008;49.471;49.930;50.384;50.831;51.273;51.706;52.133;52.552;52.963;53.367;53.763
Montecarlo;MISIONES;37.187;37.504;37.819;38.130;38.438;38.743;39.044;39.342;39.635;39.925;40.209;40.490;40.765;41.035;41.301;41.559
Oberá;MISIONES;108.681;110.049;111.406;112.750;114.081;115.394;116.693;117.979;119.248;120.499;121.727;122.934;124.122;125.290;126.436;127.556
San Ignacio;MISIONES;58.463;58.798;59.131;59.461;59.788;60.111;60.430;60.745;61.058;61.365;61.666;61.963;62.254;62.541;62.822;63.097
San Javier;MISIONES;21.155;21.346;21.534;21.721;21.907;22.089;22.271;22.449;22.626;22.800;22.971;23.139;23.304;23.466;23.626;23.782
San Pedro;MISIONES;31.294;32.117;32.932;33.740;34.540;35.330;36.111;36.884;37.647;38.399;39.137;39.863;40.578;41.281;41.969;42.642
25 de Mayo;MISIONES;28.131;28.214;28.295;28.376;28.456;28.536;28.614;28.691;28.767;28.843;28.916;28.989;29.061;29.131;29.200;29.267
Aluminé;NEUQUEN;8.582;8.875;9.172;9.474;9.781;10.092;10.408;10.729;11.054;11.384;11.718;12.057;12.400;12.749;13.101;13.459
Añelo;NEUQUEN;11.121;11.604;12.102;12.614;13.142;13.683;14.239;14.812;15.400;16.003;16.622;17.258;17.910;18.580;19.266;19.970
Catán Lil;NEUQUEN;2.695;2.718;2.741;2.763;2.784;2.805;2.825;2.843;2.861;2.879;2.896;2.912;2.927;2.941;2.955;2.968
Chos Malal;NEUQUEN;15.853;16.022;16.185;16.341;16.490;16.630;16.764;16.891;17.011;17.123;17.229;17.327;17.419;17.503;17.583;17.656
Collón Curá;NEUQUEN;4.717;4.738;4.758;4.779;4.799;4.820;4.840;4.859;4.879;4.899;4.918;4.937;4.955;4.973;4.991;5.009
Confluencia;NEUQUEN;376.434;382.083;387.611;393.009;398.269;403.382;408.353;413.185;417.874;422.415;426.804;431.047;435.156;439.124;442.956;446.648
Huiliches;NEUQUEN;15.274;15.548;15.820;16.088;16.352;16.611;16.866;17.116;17.363;17.605;17.842;18.074;18.302;18.526;18.744;18.959
Lácar;NEUQUEN;30.819;31.523;32.227;32.929;33.629;34.326;35.018;35.709;36.395;37.078;37.756;38.429;39.099;39.765;40.426;41.084
Loncopué;NEUQUEN;7.196;7.273;7.348;7.421;7.491;7.558;7.623;7.686;7.745;7.802;7.858;7.910;7.961;8.009;8.055;8.099
Los Lagos;NEUQUEN;12.293;12.775;13.268;13.774;14.291;14.820;15.362;15.914;16.480;17.057;17.647;18.248;18.863;19.491;20.132;20.786
Minas;NEUQUEN;7.620;7.654;7.688;7.721;7.753;7.785;7.815;7.847;7.876;7.906;7.935;7.963;7.990;8.017;8.044;8.071
Ñorquín;NEUQUEN;5.649;5.692;5.735;5.777;5.816;5.856;5.893;5.930;5.965;5.999;6.031;6.062;6.092;6.121;6.149;6.175
Pehuenches;NEUQUEN;23.587;24.754;25.920;27.084;28.246;29.402;30.553;31.697;32.835;33.963;35.081;36.189;37.286;38.372;39.447;40.509
Picún Leufú;NEUQUEN;4.757;4.813;4.868;4.924;4.978;5.031;5.083;5.134;5.185;5.235;5.282;5.330;5.375;5.421;5.466;5.508
Picunches;NEUQUEN;7.294;7.386;7.474;7.558;7.641;7.720;7.796;7.869;7.939;8.005;8.069;8.130;8.188;8.243;8.295;8.344
Zapala;NEUQUEN;38.019;38.262;38.505;38.747;38.987;39.224;39.459;39.692;39.922;40.148;40.369;40.588;40.803;41.015;41.223;41.428
Adolfo Alsina;RIO NEGRO;58.594;59.298;60.002;60.701;61.396;62.086;62.771;63.452;64.124;64.791;65.450;66.102;66.746;67.383;68.011;68.631
Avellaneda;RIO NEGRO;35.882;36.342;36.799;37.255;37.709;38.158;38.604;39.047;39.486;39.920;40.349;40.774;41.193;41.608;42.018;42.422
Bariloche;RIO NEGRO;135.338;138.259;141.169;144.067;146.948;149.808;152.646;155.462;158.251;161.012;163.743;166.443;169.112;171.749;174.351;176.919
Conesa;RIO NEGRO;7.177;7.285;7.391;7.498;7.604;7.708;7.813;7.916;8.019;8.119;8.221;8.319;8.417;8.515;8.609;8.704
El Cuy;RIO NEGRO;5.348;5.496;5.643;5.788;5.934;6.078;6.221;6.363;6.505;6.643;6.781;6.918;7.052;7.185;7.317;7.446
General Roca;RIO NEGRO;326.007;330.502;334.968;339.476;343.954;348.406;352.820;357.230;361.612;366.014;370.245;374.450;378.623;382.551;386.605;390.644
9 de julio;RIO NEGRO;3.549;3.534;3.510;3.487;3.464;3.442;3.419;3.397;3.376;3.354;3.334;3.313;3.293;3.272;3.253;3.233
Ñorquincó;RIO NEGRO;1.782;1.733;1.705;1.661;1.619;1.585;1.553;1.522;1.491;1.460;1.430;1.401;1.371;1.349;1.321;1.294
Pichi Mahuida;RIO NEGRO;14.368;14.375;14.382;14.390;14.397;14.404;14.412;14.419;14.426;14.433;14.441;14.448;14.454;14.461;14.468;14.475
Pilcaniyeu;RIO NEGRO;7.526;7.714;7.901;8.088;8.274;8.458;8.641;8.822;9.002;9.180;9.356;9.530;9.702;9.873;10.040;10.206
San Antonio;RIO NEGRO;29.668;30.412;31.155;31.894;32.630;33.360;34.084;34.803;35.515;36.107;36.787;37.460;38.126;38.961;39.625;40.280
Valcheta;RIO NEGRO;7.067;7.261;7.462;7.616;7.769;7.910;8.049;8.155;8.249;8.393;8.556;8.697;8.824;8.956;9.080;9.161
25 de Mayo;RIO NEGRO;15.971;16.275;16.576;16.876;17.175;17.471;17.766;18.058;18.347;18.634;18.917;19.197;19.474;19.747;20.017;20.282
Anta;SALTA;58.556;59.619;60.679;61.736;62.788;63.830;64.866;65.896;66.918;67.927;68.925;69.909;70.881;71.843;72.788;73.719
Cachi;SALTA;7.487;7.506;7.524;7.543;7.562;7.580;7.599;7.617;7.636;7.653;7.672;7.689;7.706;7.724;7.740;7.756
Cafayate;SALTA;15.112;15.526;15.941;16.354;16.764;17.172;17.577;17.979;18.378;18.774;19.162;19.548;19.927;20.303;20.672;21.036
Capital;SALTA;546.858;555.499;564.108;572.685;581.223;589.696;598.107;606.474;614.764;622.964;631.058;639.055;646.956;654.756;662.439;670.002
Cerrillos;SALTA;36.363;37.623;38.881;40.134;41.380;42.617;43.845;45.066;46.277;47.476;48.658;49.825;50.979;52.117;53.240;54.343
Chicoana;SALTA;21.127;21.478;21.826;22.175;22.520;22.863;23.205;23.543;23.879;24.212;24.541;24.864;25.184;25.501;25.811;26.119
General Güemes;SALTA;48.194;48.913;49.630;50.346;51.057;51.763;52.465;53.161;53.853;54.536;55.211;55.877;56.535;57.185;57.826;58.456
General José de San Martín;SALTA;160.093;162.633;165.169;167.695;170.207;172.700;175.176;177.638;180.080;182.495;184.877;187.231;189.556;191.852;194.114;196.340
Guachipas;SALTA;3.264;3.266;3.269;3.271;3.273;3.276;3.279;3.281;3.283;3.286;3.288;3.290;3.293;3.295;3.297;3.299
Iruya;SALTA;6.138;6.101;6.066;6.030;5.994;5.959;5.924;5.889;5.854;5.820;5.786;5.752;5.720;5.687;5.655;5.623
La Caldera;SALTA;7.888;8.161;8.434;8.705;8.975;9.242;9.508;9.773;10.035;10.295;10.551;10.804;11.054;11.300;11.543;11.782
La Candelaria;SALTA;5.828;5.891;5.955;6.019;6.082;6.146;6.208;6.269;6.331;6.392;6.452;6.511;6.571;6.628;6.686;6.741
La Poma;SALTA;1.779;1.779;1.778;1.777;1.777;1.776;1.775;1.776;1.775;1.774;1.773;1.773;1.772;1.771;1.771;1.771
La Viña;SALTA;7.602;7.652;7.702;7.751;7.801;7.849;7.897;7.945;7.993;8.041;8.088;8.133;8.179;8.224;8.269;8.312
Los Andes;SALTA;6.181;6.247;6.312;6.378;6.443;6.506;6.571;6.634;6.697;6.759;6.821;6.882;6.942;7.002;7.060;7.117
Metán;SALTA;41.259;41.510;41.762;42.012;42.261;42.507;42.753;42.997;43.239;43.478;43.714;43.947;44.178;44.405;44.629;44.849
Molinos;SALTA;5.783;5.801;5.819;5.836;5.854;5.872;5.889;5.906;5.924;5.941;5.958;5.974;5.991;6.006;6.022;6.038
Orán;SALTA;141.683;143.824;145.959;148.088;150.203;152.304;154.390;156.464;158.520;160.555;162.562;164.544;166.504;168.438;170.343;172.219
Rivadavia;SALTA;30.997;31.418;31.839;32.258;32.675;33.088;33.499;33.907;34.313;34.714;35.109;35.499;35.885;36.266;36.641;37.010
Rosario de la Frontera;SALTA;29.644;29.824;30.003;30.182;30.359;30.534;30.709;30.883;31.055;31.225;31.393;31.560;31.723;31.885;32.045;32.203
Rosario de Lerma;SALTA;39.480;40.134;40.787;41.438;42.084;42.726;43.364;43.998;44.626;45.248;45.862;46.467;47.067;47.657;48.240;48.813
San Carlos;SALTA;7.187;7.176;7.167;7.156;7.145;7.136;7.126;7.116;7.106;7.096;7.087;7.077;7.068;7.058;7.050;7.040
Santa Victoria;SALTA;10.608;10.530;10.452;10.375;10.299;10.223;10.146;10.071;9.996;9.923;9.849;9.777;9.707;9.636;9.567;9.499
Albardón;SAN JUAN;24.362;24.857;25.351;25.846;26.340;26.833;27.325;27.815;28.304;28.788;29.269;29.744;30.218;30.687;31.150;31.609
Angaco;SAN JUAN;8.310;8.398;8.487;8.575;8.663;8.751;8.839;8.926;9.013;9.100;9.186;9.271;9.356;9.439;9.522;9.604
Calingasta;SAN JUAN;8.794;8.865;8.937;9.008;9.079;9.151;9.222;9.293;9.363;9.433;9.503;9.571;9.641;9.708;9.775;9.841
Capital;SAN JUAN;111.999;111.536;111.072;110.608;110.145;109.684;109.222;108.764;108.306;107.850;107.401;106.955;106.509;106.070;105.639;105.208
Caucete;SAN JUAN;39.133;39.819;40.505;41.191;41.877;42.560;43.241;43.922;44.598;45.271;45.938;46.598;47.255;47.904;48.547;49.183
Chimbas;SAN JUAN;88.999;90.775;92.553;94.331;96.107;97.878;99.645;101.405;103.159;104.900;106.627;108.341;110.040;111.724;113.390;115.037
Iglesia;SAN JUAN;9.261;9.586;9.913;10.240;10.566;10.892;11.216;11.539;11.862;12.182;12.499;12.814;13.126;13.435;13.741;14.045
Jáchal;SAN JUAN;22.253;22.387;22.522;22.657;22.791;22.924;23.058;23.191;23.324;23.456;23.586;23.716;23.845;23.972;24.098;24.223
9 de Julio;SAN JUAN;9.482;9.711;9.941;10.172;10.401;10.629;10.858;11.086;11.313;11.538;11.761;11.982;12.202;12.420;12.634;12.848
Pocito;SAN JUAN;54.060;55.730;57.402;59.075;60.745;62.410;64.071;65.726;67.376;69.014;70.638;72.249;73.847;75.430;76.998;78.546
Rawson;SAN JUAN;117.007;118.001;118.995;119.991;120.984;121.975;122.962;123.948;124.929;125.904;126.870;127.828;128.779;129.722;130.654;131.576
Rivadavia;SAN JUAN;84.505;85.355;86.205;87.056;87.906;88.753;89.598;90.441;91.279;92.112;92.939;93.758;94.571;95.377;96.174;96.962
San Martín;SAN JUAN;11.360;11.508;11.657;11.805;11.953;12.101;12.248;12.394;12.541;12.687;12.830;12.973;13.114;13.255;13.394;13.531
Santa Lucía;SAN JUAN;49.139;49.760;50.382;51.004;51.625;52.244;52.862;53.478;54.091;54.701;55.304;55.904;56.498;57.087;57.669;58.246
Sarmiento;SAN JUAN;22.584;23.020;23.457;23.892;24.329;24.763;25.196;25.629;26.059;26.487;26.910;27.331;27.748;28.161;28.570;28.974
Ullum;SAN JUAN;4.995;5.056;5.116;5.178;5.239;5.299;5.359;5.419;5.479;5.538;5.598;5.656;5.715;5.772;5.829;5.885
Valle Fértil;SAN JUAN;7.392;7.453;7.515;7.576;7.638;7.698;7.760;7.821;7.881;7.942;8.001;8.060;8.118;8.177;8.234;8.291
25 de Mayo;SAN JUAN;17.483;17.765;18.048;18.330;18.613;18.895;19.175;19.455;19.734;20.010;20.285;20.557;20.827;21.095;21.360;21.622
Zonda;SAN JUAN;4.958;5.070;5.182;5.295;5.407;5.519;5.631;5.742;5.853;5.963;6.072;6.181;6.288;6.395;6.500;6.604
Ayacucho;SAN LUIS;19.613;19.856;20.100;20.344;20.587;20.830;21.071;21.313;21.554;21.793;22.030;22.266;22.501;22.733;22.963;23.189
Belgrano;SAN LUIS;4.104;4.122;4.140;4.158;4.176;4.193;4.211;4.229;4.246;4.264;4.281;4.298;4.316;4.333;4.350;4.367
Chacabuco;SAN LUIS;21.318;21.568;21.818;22.068;22.318;22.566;22.815;23.063;23.309;23.555;23.798;24.040;24.280;24.519;24.754;24.987
Coronel Pringles;SAN LUIS;13.541;13.619;13.698;13.775;13.853;13.931;14.008;14.085;14.162;14.239;14.315;14.391;14.466;14.540;14.613;14.686
General Pedernera;SAN LUIS;129.349;130.973;132.599;134.223;135.845;137.464;139.078;140.687;142.291;143.887;145.471;147.044;148.606;150.152;151.684;153.196
Gobernador Dupuy;SAN LUIS;12.122;12.198;12.273;12.348;12.424;12.499;12.574;12.647;12.722;12.796;12.869;12.942;13.014;13.086;13.157;13.227
Junín;SAN LUIS;29.607;30.481;31.353;32.226;33.097;33.966;34.833;35.697;36.559;37.416;38.266;39.111;39.950;40.782;41.604;42.416
La Capital;SAN LUIS;209.426;212.801;216.175;219.549;222.916;226.277;229.628;232.974;236.302;239.614;242.908;246.175;249.414;252.625;255.804;258.947
Libertador General San Martín;SAN LUIS;4.864;4.816;4.768;4.720;4.673;4.625;4.578;4.530;4.484;4.436;4.390;4.343;4.298;4.253;4.208;4.163
Corpen Aike;SANTA CRUZ;11.153;11.522;11.892;12.263;12.635;13.007;13.379;13.752;14.124;14.497;14.869;15.243;15.617;15.991;16.365;16.738
Deseado;SANTA CRUZ;108.157;112.211;116.277;120.353;124.434;128.514;132.598;136.687;140.782;144.876;148.968;153.063;157.167;161.269;165.378;169.485
Güer Aike;SANTA CRUZ;114.031;116.487;118.955;121.466;124.000;126.555;129.110;131.668;134.230;136.792;139.354;141.917;144.483;147.052;149.620;152.189
Lago Argentino;SANTA CRUZ;18.891;20.104;21.322;22.503;23.666;24.809;25.953;27.099;28.245;29.393;30.540;31.688;32.837;33.988;35.139;36.291
Lago Buenos Aires;SANTA CRUZ;8.795;9.090;9.386;9.684;9.981;10.277;10.575;10.873;11.171;11.469;11.767;12.065;12.364;12.663;12.962;13.260
Magallanes;SANTA CRUZ;9.250;9.563;9.877;10.190;10.504;10.820;11.134;11.449;11.764;12.080;12.395;12.711;13.027;13.344;13.659;13.976
Río Chico;SANTA CRUZ;5.175;5.437;5.698;5.961;6.224;6.487;6.750;7.014;7.277;7.540;7.805;8.069;8.332;8.597;8.861;9.126
Belgrano;SANTA FE;45.619;46.186;46.760;47.341;47.927;48.517;49.110;49.705;50.301;50.897;51.493;52.086;52.679;53.269;53.857;54.442
Caseros;SANTA FE;83.778;84.332;84.893;85.457;86.021;86.582;87.140;87.691;88.236;88.772;89.297;89.812;90.314;90.804;91.281;91.746
Castellanos;SANTA FE;181.359;183.736;186.140;188.573;191.030;193.506;195.997;198.499;201.008;203.520;206.032;208.542;211.047;213.548;216.041;218.527
Constitución;SANTA FE;88.623;89.409;90.203;91.002;91.805;92.609;93.411;94.211;95.006;95.794;96.574;97.346;98.106;98.857;99.596;100.325
Garay;SANTA FE;21.299;21.502;21.707;21.914;22.122;22.330;22.540;22.747;22.954;23.160;23.364;23.566;23.766;23.964;24.159;24.352
General López;SANTA FE;194.799;196.496;198.209;199.936;201.668;203.403;205.133;206.858;208.572;210.270;211.950;213.608;215.245;216.859;218.447;220.011
General Obligado;SANTA FE;179.786;181.709;183.653;185.616;187.591;189.576;191.565;193.554;195.540;197.519;199.488;201.445;203.388;205.315;207.225;209.119
Iriondo;SANTA FE;68.053;68.459;68.868;69.280;69.691;70.100;70.505;70.905;71.298;71.685;72.062;72.429;72.787;73.133;73.469;73.794
La Capital;SANTA FE;535.423;540.161;544.947;549.769;554.611;559.457;564.297;569.119;573.912;578.665;583.368;588.016;592.604;597.127;601.585;605.978
Las Colonias;SANTA FE;106.838;108.342;109.866;111.409;112.969;114.544;116.129;117.726;119.328;120.936;122.547;124.160;125.772;127.385;128.997;130.607
9 de Julio;SANTA FE;30.410;30.720;31.033;31.348;31.666;31.986;32.306;32.624;32.942;33.260;33.574;33.886;34.195;34.502;34.806;35.107
Rosario;SANTA FE;1.218.189;1.225.561;1.233.017;1.240.495;1.247.966;1.255.394;1.262.751;1.270.018;1.277.164;1.284.166;1.291.010;1.297.681;1.304.168;1.310.461;1.316.568;1.322.478
San Cristóbal;SANTA FE;70.216;70.905;71.600;72.302;73.008;73.715;74.423;75.129;75.833;76.534;77.228;77.917;78.599;79.273;79.940;80.600
San Javier;SANTA FE;31.581;31.829;32.080;32.332;32.585;32.837;33.089;33.339;33.588;33.832;34.075;34.313;34.547;34.778;35.004;35.226
San Jerónimo;SANTA FE;82.432;83.177;83.930;84.689;85.451;86.214;86.977;87.737;88.492;89.243;89.985;90.720;91.445;92.161;92.866;93.563
San Justo;SANTA FE;41.755;41.988;42.222;42.458;42.693;42.926;43.157;43.385;43.608;43.827;44.041;44.247;44.447;44.642;44.830;45.010
San Lorenzo;SANTA FE;160.056;162.403;164.777;167.185;169.621;172.080;174.559;177.054;179.564;182.083;184.609;187.140;189.674;192.210;194.747;197.285
San Martín;SANTA FE;65.105;65.670;66.242;66.816;67.394;67.971;68.548;69.123;69.694;70.259;70.819;71.372;71.918;72.455;72.985;73.506
Vera;SANTA FE;52.586;52.823;53.065;53.306;53.546;53.785;54.019;54.250;54.474;54.691;54.902;55.104;55.298;55.484;55.660;55.829
Aguirre;SANTIAGO DEL ESTERO;7.658;7.739;7.821;7.904;7.989;8.074;8.159;8.244;8.329;8.415;8.500;8.585;8.668;8.751;8.833;8.913
Alberdi;SANTIAGO DEL ESTERO;17.343;17.576;17.811;18.050;18.290;18.532;18.776;19.021;19.266;19.511;19.755;19.997;20.236;20.474;20.708;20.938
Atamisqui;SANTIAGO DEL ESTERO;10.973;11.131;11.293;11.455;11.619;11.784;11.951;12.118;12.286;12.452;12.619;12.784;12.948;13.110;13.269;13.426
Avellaneda;SANTIAGO DEL ESTERO;20.899;21.098;21.298;21.501;21.706;21.912;22.119;22.328;22.536;22.745;22.952;23.158;23.362;23.564;23.763;23.958
Banda;SANTIAGO DEL ESTERO;142.941;144.913;146.908;148.924;150.962;153.014;155.079;157.154;159.233;161.307;163.370;165.419;167.451;169.458;171.438;173.384
Belgrano;SANTIAGO DEL ESTERO;9.264;9.445;9.630;9.815;10.002;10.190;10.381;10.571;10.763;10.954;11.144;11.332;11.519;11.703;11.886;12.065
Capital;SANTIAGO DEL ESTERO;268.713;271.543;274.405;277.307;280.230;283.187;286.150;289.136;292.124;295.109;298.076;301.019;303.936;306.825;309.665;312.462
Choya;SANTIAGO DEL ESTERO;34.982;35.127;35.274;35.422;35.573;35.724;35.876;36.029;36.182;36.334;36.486;36.637;36.786;36.934;37.080;37.223
Copo;SANTIAGO DEL ESTERO;31.484;32.113;32.751;33.396;34.048;34.703;35.364;36.028;36.692;37.356;38.016;38.671;39.321;39.963;40.597;41.219
Figueroa;SANTIAGO DEL ESTERO;17.998;18.050;18.102;18.154;18.207;18.260;18.315;18.368;18.422;18.476;18.529;18.582;18.635;18.687;18.739;18.789
General Taboada;SANTIAGO DEL ESTERO;38.424;38.626;38.832;39.039;39.249;39.459;39.672;39.885;40.098;40.310;40.522;40.732;40.941;41.146;41.349;41.549
Guasayán;SANTIAGO DEL ESTERO;7.672;7.701;7.730;7.759;7.789;7.818;7.847;7.878;7.908;7.937;7.967;7.997;8.026;8.055;8.083;8.111
Jiménez;SANTIAGO DEL ESTERO;14.434;14.599;14.767;14.936;15.107;15.278;15.450;15.625;15.798;15.972;16.144;16.316;16.485;16.654;16.820;16.983
Juan F. Ibarra;SANTIAGO DEL ESTERO;18.176;18.328;18.482;18.638;18.796;18.955;19.113;19.273;19.435;19.595;19.753;19.912;20.068;20.223;20.376;20.526
Loreto;SANTIAGO DEL ESTERO;20.086;20.447;20.810;21.179;21.551;21.925;22.303;22.681;23.060;23.439;23.815;24.190;24.560;24.926;25.287;25.643
Mitre;SANTIAGO DEL ESTERO;1.906;1.918;1.930;1.941;1.953;1.965;1.977;1.990;2.002;2.014;2.026;2.038;2.050;2.062;2.074;2.084
Moreno;SANTIAGO DEL ESTERO;32.228;32.796;33.371;33.953;34.541;35.131;35.727;36.325;36.924;37.521;38.117;38.706;39.292;39.871;40.441;41.002
Ojo de Agua;SANTIAGO DEL ESTERO;14.118;14.211;14.306;14.402;14.499;14.596;14.695;14.793;14.892;14.991;15.089;15.186;15.283;15.377;15.471;15.564
Pellegrini;SANTIAGO DEL ESTERO;20.677;20.821;20.965;21.110;21.258;21.407;21.556;21.706;21.857;22.007;22.156;22.304;22.452;22.597;22.740;22.881
Quebrachos;SANTIAGO DEL ESTERO;10.726;10.672;10.616;10.559;10.499;10.440;10.380;10.319;10.258;10.197;10.136;10.077;10.019;9.962;9.906;9.852
Río Hondo;SANTIAGO DEL ESTERO;55.200;55.776;56.359;56.948;57.544;58.142;58.746;59.352;59.958;60.564;61.166;61.764;62.357;62.943;63.521;64.089
Rivadavia;SANTIAGO DEL ESTERO;5.065;5.081;5.097;5.113;5.130;5.146;5.163;5.179;5.197;5.213;5.230;5.246;5.263;5.279;5.295;5.311
Robles;SANTIAGO DEL ESTERO;44.624;45.234;45.850;46.473;47.102;47.735;48.373;49.013;49.655;50.296;50.933;51.565;52.192;52.812;53.423;54.024
Salavina;SANTIAGO DEL ESTERO;11.306;11.385;11.465;11.545;11.626;11.708;11.791;11.874;11.957;12.039;12.123;12.204;12.285;12.365;12.444;12.522
San Martín;SANTIAGO DEL ESTERO;9.896;9.995;10.095;10.196;10.297;10.400;10.503;10.606;10.710;10.814;10.917;11.019;11.121;11.221;11.320;11.417
Sarmiento;SANTIAGO DEL ESTERO;4.661;4.672;4.684;4.696;4.706;4.718;4.728;4.739;4.751;4.762;4.772;4.784;4.795;4.806;4.817;4.829
Silípica;SANTIAGO DEL ESTERO;7.792;7.812;7.832;7.853;7.874;7.894;7.915;7.937;7.958;7.979;8.000;8.021;8.042;8.062;8.083;8.102
Antártida Argentina;TIERRA DEL FUEDO, ANTARTIDA;214;220;227;235;241;248;255;263;270;277;283;291;298;305;313;320
Río Grande;TIERRA DEL FUEDO, ANTARTIDA;72.491;74.777;77.079;79.395;81.723;84.061;86.410;88.768;91.133;93.507;95.889;98.277;100.678;103.088;105.505;107.928
Ushuaia;TIERRA DEL FUEDO, ANTARTIDA;58.956;60.745;62.546;64.357;66.179;68.008;69.844;71.689;73.541;75.399;77.260;79.129;81.007;82.892;84.783;86.678
Burruyacú;TUCUMAN;37.965;38.697;39.430;40.165;40.898;41.628;42.356;43.081;43.802;44.518;45.225;45.927;46.620;47.306;47.983;48.651
Capital;TUCUMAN;565.221;569.307;573.408;577.503;581.601;585.681;589.748;593.798;597.822;601.811;605.767;609.681;613.557;617.384;621.165;624.890
Chicligasta;TUCUMAN;83.026;84.179;85.335;86.492;87.647;88.798;89.945;91.088;92.223;93.351;94.466;95.570;96.664;97.745;98.812;99.865
Cruz Alta;TUCUMAN;185.413;188.882;192.359;195.839;199.313;202.777;206.227;209.664;213.080;216.470;219.826;223.148;226.437;229.688;232.897;236.062
Famaillá;TUCUMAN;35.482;36.156;36.832;37.508;38.182;38.856;39.526;40.193;40.857;41.516;42.167;42.813;43.451;44.083;44.707;45.321
Graneros;TUCUMAN;13.961;14.083;14.207;14.330;14.453;14.576;14.698;14.820;14.941;15.062;15.181;15.299;15.416;15.531;15.645;15.758
Juan B. Alberdi;TUCUMAN;31.099;31.522;31.946;32.370;32.795;33.217;33.638;34.057;34.474;34.888;35.297;35.703;36.104;36.500;36.892;37.278
La Cocha;TUCUMAN;19.547;19.817;20.087;20.357;20.627;20.896;21.164;21.431;21.697;21.960;22.222;22.479;22.735;22.988;23.237;23.484
Leales;TUCUMAN;56.557;57.202;57.848;58.496;59.142;59.786;60.428;61.067;61.703;62.334;62.958;63.575;64.187;64.792;65.389;65.977
Lules;TUCUMAN;70.179;72.144;74.113;76.085;78.053;80.014;81.970;83.916;85.852;87.772;89.673;91.554;93.417;95.259;97.076;98.869
Monteros;TUCUMAN;65.428;66.428;67.430;68.433;69.434;70.432;71.427;72.417;73.402;74.379;75.346;76.303;77.251;78.188;79.112;80.025
Río Chico;TUCUMAN;58.467;59.280;60.094;60.910;61.725;62.536;63.344;64.150;64.950;65.745;66.531;67.310;68.080;68.842;69.594;70.336
